area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,19-Dec,Horamavu Banaswadi,2 BHK,,1460.0,2.0,1.0,80.5,2,5513.7
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530.0,2.0,2.0,74.5,3,4869.28
Built-up  Area,Ready To Move,HSR Layout,2 BHK,,1467.0,2.0,1.0,55.0,2,3749.15
Super built-up  Area,Ready To Move,KR Layout,1 BHK,,950.0,1.0,1.0,40.0,1,4210.53
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,64.5,2,5176.57
Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,711.0,1.0,1.0,38.0,1,5344.59
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1194.0,2.0,2.0,46.0,2,3852.6
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,ARngsd,1358.0,2.0,1.0,43.4,3,3195.88
Carpet  Area,Ready To Move,Nagasandra,6 Bedroom,,1500.0,5.0,1.0,130.0,6,8666.67
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Goeur G,1420.0,2.0,2.0,75.0,2,5281.69
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1250.0,2.0,1.0,68.75,3,5500.0
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1280.0,2.0,2.0,58.0,2,4531.25
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,Gruesaf,1209.0,2.0,1.0,50.0,2,4135.65
Built-up  Area,Ready To Move,Kempapura,5 Bedroom,,4200.0,5.0,2.0,225.0,5,5357.14
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,,1215.0,4.0,3.0,205.0,4,16872.43
Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1315.0,2.0,1.0,54.8,3,4167.3
Built-up  Area,Ready To Move,Hessarghatta,5 Bedroom,,1600.0,4.0,0.0,125.0,5,7812.5
Super built-up  Area,Ready To Move,TC Palaya,3 BHK,RKncyha,1600.0,2.0,2.0,65.0,3,4062.5
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1563.0,3.0,2.0,52.0,3,3326.94
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SRidePr,1560.0,2.0,2.0,72.0,3,4615.38
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Krrbsil,2169.0,4.0,2.0,115.0,3,5301.98
Plot  Area,Ready To Move,Lakshmi Layout,9 Bedroom,,900.0,10.0,2.0,170.0,9,18888.89
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050.0,2.0,2.0,55.5,2,5285.71
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,3235.0,3.0,1.0,235.0,3,7264.3
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200.0,3.0,0.0,66.0,3,5500.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140.0,2.0,2.0,46.0,2,4035.09
Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,,1500.0,3.0,1.0,170.0,3,11333.33
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1560.0,3.0,2.0,75.0,3,4807.69
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Saowsri,1100.0,2.0,2.0,70.0,2,6363.64
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1260.0,2.0,3.0,40.32,3,3200.0
Super built-up  Area,18-Mar,Hebbal,2 BHK,Arcia S,1036.0,2.0,1.0,50.0,2,4826.25
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662.0,3.0,3.0,85.1,3,5120.34
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,PuontBe,1464.0,2.0,3.0,105.0,3,7172.13
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,NCowsar,1234.0,2.0,2.0,80.0,2,6482.98
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Arldsyo,1403.0,3.0,1.0,55.0,3,3920.17
Plot  Area,Ready To Move,Kadugondanahalli,4 Bedroom,,915.0,4.0,1.0,54.9,4,6000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,3000.0,8.0,3.0,451.0,6,15033.33
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,,1150.0,2.0,2.0,42.9,3,3730.43
Built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3900.0,4.0,2.0,410.0,4,10512.82
Built-up  Area,Ready To Move,Yeshwanthpur,5 Bedroom,,850.0,4.0,2.0,90.0,5,10588.24
Super built-up  Area,18-Mar,Kanakapura,2 BHK,,929.0,2.0,1.0,46.0,2,4951.56
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,2400.0,8.0,3.0,450.0,6,18750.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1350.0,2.0,1.0,75.0,3,5555.56
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1135.0,2.0,1.0,39.73,2,3500.44
Built-up  Area,Ready To Move,Basava Nagar,2 BHK,Saarea,1405.0,2.0,2.0,70.0,2,4982.21
Plot  Area,18-Sep,Whitefield,2 Bedroom,,1200.0,2.0,1.0,45.84,2,3820.0
Super built-up  Area,18-Apr,Haralur Road,4 BHK,SNnia E,2805.0,4.0,3.0,154.0,4,5490.2
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1161.0,2.0,2.0,64.08,2,5519.38
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,Soena A,1290.0,2.0,3.0,74.0,2,5736.43
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2557.0,3.0,2.0,141.0,3,5514.27
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,Raaden,1480.0,3.0,2.0,90.0,3,6081.08
Plot  Area,Ready To Move,BTM 1st Stage,9 Bedroom,Srvasks,3300.0,14.0,2.0,500.0,9,15151.52
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,SheldGr,1350.0,3.0,0.0,54.54,3,4040.0
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1580.0,2.0,2.0,65.0,3,4113.92
Super built-up  Area,17-Oct,Banashankari,3 BHK,,1470.0,2.0,1.0,88.64,3,6029.93
Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,,500.0,1.0,1.0,14.0,1,2800.0
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346.0,2.0,1.0,61.92,2,4600.3
Super built-up  Area,Ready To Move,Canara Bank Layout,3 BHK,,1600.0,3.0,3.0,90.0,3,5625.0
Super built-up  Area,Ready To Move,Naganathapura,2 BHK,,720.0,2.0,1.0,120.0,2,16666.67
Plot  Area,Ready To Move,Manjunath Nagar,4 Bedroom,,1200.0,4.0,0.0,135.0,4,11250.0
Super built-up  Area,Ready To Move,Basapura,2 BHK,RMncy R,1200.0,2.0,2.0,35.0,2,2916.67
Built-up  Area,Ready To Move,Channasandra,3 BHK,Pritehi,1340.0,2.0,2.0,48.33,3,3606.72
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,6136.0,4.0,2.0,560.0,4,9126.47
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918.0,2.0,2.0,48.0,2,5228.76
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,CoiewSy,1500.0,3.0,2.0,115.0,3,7666.67
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315.0,2.0,2.0,85.0,2,6463.88
Plot  Area,Ready To Move,Sector 1 HSR Layout,4 Bedroom,,2400.0,5.0,2.0,775.0,4,32291.67
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1390.0,2.0,2.0,62.55,3,4500.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330.0,2.0,1.0,56.0,3,4210.53
Built-up  Area,Ready To Move,Jalahalli,5 BHK,BrardCo,3100.0,4.0,2.0,265.0,5,8548.39
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420.0,2.0,2.0,96.0,3,6760.56
Plot  Area,Ready To Move,Kacharakanahalli,1 Bedroom,,750.0,1.0,0.0,56.25,1,7500.0
Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,ShshaSa,1260.0,2.0,1.0,60.0,3,4761.9
Super built-up  Area,19-Sep,Hennur Road,3 BHK,Orens G,1561.0,3.0,2.0,95.0,3,6085.84
Plot  Area,Ready To Move,5th Phase JP Nagar,9 Bedroom,,812.0,6.0,3.0,165.0,9,20320.2
Super built-up  Area,18-Jul,Haralur Road,2 BHK,SNnia E,1225.0,2.0,1.0,67.38,2,5500.41
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya,2144.0,3.0,2.0,135.0,3,6296.64
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa,880.0,2.0,2.0,29.0,2,3295.45
Super built-up  Area,21-Dec,Hoodi,3 BHK,GoAirej,1639.0,3.0,2.0,110.0,3,6711.41
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt,1240.0,2.0,1.0,62.0,3,5000.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1500.0,2.0,2.0,69.0,2,4600.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243.0,2.0,1.0,46.0,2,3700.72
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Aiitya,1575.0,3.0,2.0,78.0,3,4952.38
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027.0,2.0,2.0,44.0,2,4284.32
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht,1082.0,2.0,1.0,56.0,3,5175.6
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,,1637.0,3.0,3.0,73.0,3,4459.38
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1665.0,3.0,2.0,86.58,3,5200.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,GoontLa,1265.0,2.0,0.0,56.93,2,4500.4
Super built-up  Area,21-Dec,Electronic City,3 BHK,KonteiT,1691.0,2.0,2.0,102.0,3,6031.93
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1100.0,2.0,1.0,38.0,2,3454.55
Plot  Area,19-Jan,Gopalkrishna Nagar,3 Bedroom,,1500.0,3.0,2.0,62.0,3,4133.33
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte,3205.0,5.0,1.0,380.0,4,11856.47
Built-up  Area,Ready To Move,Kammanahalli,5 Bedroom,,1666.0,4.0,1.0,150.0,5,9003.6
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,GRhtiru,1115.0,2.0,2.0,50.0,2,4484.3
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Brama P,1070.0,2.0,1.0,45.0,2,4205.61
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Aentsbe,1128.0,2.0,2.0,105.0,2,9308.51
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162.0,2.0,1.0,57.0,2,4905.34
Super built-up  Area,Ready To Move,Sai Gardens,2 BHK,Alivae,1339.0,2.0,2.0,55.0,2,4107.54
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar,1192.0,2.0,2.0,75.0,2,6291.95
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,1920.0,3.0,1.0,115.0,3,5989.58
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255.0,2.0,1.0,52.32,2,4168.92
Super built-up  Area,18-Apr,Rajaji Nagar,2 BHK,ProdsWe,1357.0,2.0,1.0,115.0,2,8474.58
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,3 BHK,,1600.0,3.0,2.0,75.0,3,4687.5
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,Saersel,1225.0,2.0,2.0,55.11,2,4498.78
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Saark H,2400.0,4.0,3.0,200.0,4,8333.33
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,1570.0,3.0,3.0,80.0,3,5095.54
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy,1093.0,2.0,2.0,70.0,2,6404.39
Built-up  Area,Ready To Move,Basaveshwara Nagar,3 BHK,Suncy R,1865.0,3.0,3.0,145.0,3,7774.8
Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,,1200.0,7.0,3.0,165.0,6,13750.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica,1039.0,2.0,2.0,80.0,2,7699.71
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,64.5,2,5176.57
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,1985.0,3.0,2.0,75.0,3,3778.34
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,APncyla,1590.0,3.0,3.0,49.0,3,3081.76
Plot  Area,Ready To Move,Hunasamaranahalli,4 Bedroom,EmardBo,4000.0,4.0,2.0,675.0,4,16875.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,775.0,2.0,2.0,38.0,2,4903.23
Super built-up  Area,Ready To Move,RWF West Colony,2 BHK,PancyRe,1000.0,2.0,1.0,50.0,2,5000.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1800.0,3.0,2.0,175.0,3,9722.22
Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,1035.0,2.0,1.0,41.0,2,3961.35
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Syonyph,1520.0,2.0,1.0,75.0,3,4934.21
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1360.0,2.0,1.0,95.0,2,6985.29
Plot  Area,Ready To Move,Bileshivale,4 Bedroom,FeowsMe,6000.0,5.0,3.0,400.0,4,6666.67
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1117.0,2.0,2.0,56.0,2,5013.43
Plot  Area,Ready To Move,KR Puram,4 Bedroom,Esnamin,1200.0,4.0,3.0,120.0,4,10000.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,BrontLa,1330.0,2.0,1.0,92.5,2,6954.89
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1937.0,3.0,2.0,160.0,3,8260.2
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.49,2,5805.85
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,NatisAt,1053.0,2.0,1.0,45.0,2,4273.5
Super built-up  Area,18-May,Panathur,2 BHK,Prcesvy,1198.0,2.0,1.0,77.0,2,6427.38
Super built-up  Area,18-Apr,Marathahalli,2 BHK,Spows M,1152.0,2.0,1.0,56.0,2,4861.11
Super built-up  Area,17-Dec,1st Block Jayanagar,6 BHK,,1200.0,6.0,2.0,125.0,6,10416.67
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,Maentr,1625.0,2.0,1.0,75.0,2,4615.38
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1397.0,3.0,3.0,105.0,3,7516.11
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Saade E,1523.0,3.0,3.0,170.0,3,11162.18
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht,883.0,2.0,1.0,45.0,2,5096.26
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700.0,1.0,0.0,38.0,1,5428.57
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Neite T,1170.0,2.0,1.0,62.5,2,5341.88
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Shiew T,1200.0,2.0,2.0,42.0,3,3500.0
Built-up  Area,Ready To Move,Manayata Tech Park,3 BHK,,2400.0,3.0,2.0,170.0,3,7083.33
Super built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1480.0,2.0,2.0,65.0,2,4391.89
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1897.0,3.0,2.0,120.0,3,6325.78
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,996.0,2.0,1.0,67.0,2,6726.91
Super built-up  Area,18-May,Haralur Road,3 BHK,SNnia E,1875.0,3.0,2.0,110.0,3,5866.67
Super built-up  Area,20-Dec,Yelahanka,3 BHK,Un 46th,1450.0,3.0,0.0,65.255,3,4500.34
Super built-up  Area,17-Nov,Yelahanka,1 BHK,Prensya,697.0,1.0,0.0,45.0,1,6456.24
Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Shthi S,710.0,1.0,1.0,27.0,1,3802.82
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025.0,2.0,1.0,48.0,3,4682.93
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty,1000.0,2.0,0.0,46.5,2,4650.0
Super built-up  Area,18-May,Horamavu Agara,3 BHK,,1453.0,2.0,1.0,46.48,3,3198.9
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,3335.0,5.0,2.0,300.0,4,8995.5
Super built-up  Area,18-Mar,Thanisandra,2 BHK,SLityee,971.5,2.0,0.0,36.435,2,3750.39
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1281.0,2.0,1.0,74.0,2,5776.74
Built-up  Area,Ready To Move,Cooke Town,1 BHK,,565.0,1.0,1.0,35.0,1,6194.69
Built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1024.0,2.0,2.0,42.0,2,4101.56
Built-up  Area,Ready To Move,Electronic City,3 BHK,Suashen,1620.0,3.0,2.0,62.0,3,3827.16
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1254.0,2.0,2.0,40.0,2,3189.79
Built-up  Area,Ready To Move,Banashankari,3 BHK,Skave E,1300.0,2.0,2.0,75.0,3,5769.23
Built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1233.0,2.0,2.0,43.0,2,3487.43
Plot  Area,Ready To Move,Chokkanahalli,1 Bedroom,,1200.0,1.0,1.0,28.0,1,2333.33
Super built-up  Area,18-Oct,Hosur Road,3 BHK,PuendWe,1510.0,2.0,1.0,105.0,3,6953.64
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950.0,2.0,1.0,65.0,2,6842.11
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1945.0,3.0,2.0,97.42,3,5008.74
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shierhi,1008.0,2.0,3.0,45.0,2,4464.29
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy,1265.0,2.0,1.0,79.0,3,6245.06
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255.0,2.0,1.0,77.68,3,6189.64
Built-up  Area,18-Dec,Kanakpura Road,4 BHK,PrityFa,2689.0,6.0,2.0,220.0,4,8181.48
Built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1200.0,2.0,2.0,46.17,2,3847.5
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon,1403.0,3.0,3.0,51.63,3,3679.97
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535.0,3.0,2.0,85.0,3,5537.46
Super built-up  Area,Ready To Move,Chamrajpet,3 BHK,SihtsHe,1475.0,2.0,2.0,120.0,3,8135.59
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1390.0,2.0,2.0,60.47,3,4350.36
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,1278.0,2.0,1.0,53.76,3,4206.57
Super built-up  Area,Ready To Move,VGP Layout,2 BHK,AbnceEs,1133.0,2.0,2.0,55.0,2,4854.37
Plot  Area,Ready To Move,Classic Paradise Layout,5 Bedroom,,1560.0,5.0,1.0,145.0,5,9294.87
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170.0,2.0,1.0,51.99,2,4443.59
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,,1200.0,3.0,3.0,200.0,3,16666.67
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1697.0,3.0,2.0,94.79,3,5585.74
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,,1651.0,3.0,3.0,97.38,3,5898.24
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Siace P,1560.0,3.0,1.0,188.0,3,12051.28
Super built-up  Area,17-Apr,Hennur Road,3 BHK,Koagati,1192.0,2.0,1.0,60.0,3,5033.56
Built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1078.0,2.0,3.0,65.0,2,6029.68
Plot  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,,800.0,7.0,3.0,105.0,7,13125.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Salisal,1349.0,2.0,2.0,78.0,2,5782.06
Plot  Area,Ready To Move,Ulsoor,9 Bedroom,,2300.0,8.0,1.0,210.0,9,9130.43
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680.0,3.0,2.0,120.0,3,7142.86
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,,1314.0,2.0,2.0,63.0,3,4794.52
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1060.0,2.0,1.0,48.7,2,4594.34
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,SLnorMa,820.0,2.0,0.0,39.0,2,4756.1
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Skensk,5000.0,4.0,3.0,400.0,4,8000.0
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,,2000.0,3.0,2.0,85.0,3,4250.0
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin,856.0,2.0,3.0,40.0,2,4672.9
Super built-up  Area,18-Feb,Rajaji Nagar,3 BHK,Puwerun,1621.0,4.0,0.0,130.0,3,8019.74
Plot  Area,18-Dec,ITPL,3 Bedroom,,1200.0,3.0,1.0,68.4,3,5700.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,TGjraVa,1484.0,3.0,2.0,52.5,3,3537.74
Plot  Area,Ready To Move,Siddapura,4 Bedroom,Apavea,14000.0,3.0,2.0,800.0,4,5714.29
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,500.0,1.0,1.0,20.0,1,4000.0
Super built-up  Area,Ready To Move,Makali,1 BHK,,485.0,1.0,1.0,15.0,1,3092.78
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1050.0,2.0,1.0,42.0,2,4000.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1617.0,3.0,3.0,66.68,3,4123.69
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa,550.0,1.0,1.0,16.0,2,2909.09
Built-up  Area,Ready To Move,RWF West Colony,3 BHK,PancyRe,1384.0,3.0,2.0,62.28,3,4500.0
Super built-up  Area,18-Apr,Devanahalli,2 BHK,,1408.0,2.0,2.0,85.0,2,6036.93
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungsha,1150.0,2.0,1.0,49.0,2,4260.87
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1410.0,2.0,2.0,75.0,3,5319.15
Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,Adsia F,2150.0,4.0,1.0,100.0,4,4651.16
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,2292.0,4.0,1.0,275.0,3,11998.25
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2006.0,3.0,2.0,297.0,3,14805.58
Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1508.0,3.0,2.0,70.25,3,4658.49
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Foghaa,1040.0,2.0,2.0,50.0,2,4807.69
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Lancy R,1240.0,2.0,1.0,60.0,2,4838.71
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535.0,3.0,1.0,78.0,3,5081.43
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1180.0,2.0,2.0,75.0,2,6355.93
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,,2200.0,6.0,2.0,68.0,6,3090.91
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1400.0,2.0,2.0,78.0,2,5571.43
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,,500.0,1.0,1.0,25.0,1,5000.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Pronege,4800.0,4.0,3.0,525.0,4,10937.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984.0,4.0,1.0,146.0,3,7358.87
Plot  Area,Ready To Move,Whitefield,4 Bedroom,VDe 1Du,3000.0,5.0,3.0,250.0,4,8333.33
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,BrlisMe,1960.0,3.0,3.0,160.0,3,8163.27
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1035.0,2.0,1.0,45.0,2,4347.83
Built-up  Area,Ready To Move,Vibuthipura,4 Bedroom,,2150.0,4.0,1.0,80.0,4,3720.93
Built-up  Area,Ready To Move,Whitefield,3 BHK,Mithmn,1700.0,3.0,2.0,115.0,3,6764.71
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte,3024.0,5.0,1.0,248.0,4,8201.06
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1586.0,3.0,1.0,100.0,3,6305.17
Built-up  Area,18-May,Hennur,3 Bedroom,Asoilul,2264.0,2.0,2.0,155.0,3,6846.29
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325.0,4.0,1.0,120.0,4,5161.29
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1120.0,2.0,2.0,55.0,2,4910.71
Super built-up  Area,18-Jun,Yelahanka,3 BHK,Shalkri,1662.0,2.0,2.0,67.98,3,4090.25
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,CharkGr,1128.0,2.0,2.0,59.0,2,5230.5
Plot  Area,Ready To Move,5th Block Hbr Layout,6 Bedroom,,1200.0,6.0,2.0,250.0,6,20833.33
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,924.0,2.0,2.0,65.0,2,7034.63
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1600.0,3.0,2.0,52.0,3,3250.0
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1006.0,2.0,2.0,35.0,2,3479.13
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Srncy R,1200.0,2.0,2.0,55.0,2,4583.33
Super built-up  Area,20-Dec,Jalahalli West,2 BHK,,1250.0,2.0,1.0,62.0,2,4960.0
Built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957.0,2.0,1.0,56.0,2,5851.62
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1140.0,2.0,2.0,41.0,2,3596.49
Super built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,RortsCo,1050.0,2.0,1.0,67.0,2,6380.95
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,1565.0,3.0,2.0,88.5,3,5654.95
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GClmsun,1190.0,2.0,3.0,57.0,2,4789.92
Built-up  Area,18-Jan,Whitefield,3 Bedroom,,2842.0,3.0,2.0,162.0,3,5700.21
